"","aid","ID_zhang","type","Journal","WOS_biodiversity","Scopus_NLC","use","issn","eissn","issn_scopus","eissn_scopus","issn_clean","eissn_clean"
"195",195,151,"specialist","NATURE SUSTAINABILITY","N","Y","Y",NA,NA,NA,"2398-9629",NA,"2398-9629"
"196",196,152,"specialist","NATUREZA A CONSERVACAO","N","Y","Y",NA,NA,"1679-0073",NA,"1679-0073",NA
"197",197,NA,"specialist","Neilreichia",NA,"Y","Y",NA,NA,"1681-5947",NA,"1681-5947",NA
"198",198,218,"specialist","NEOBIOTA","Y","N","Y","1619-0033","1314-2488","1619-0033","1314-2488","1619-0033","1314-2488"
"199",199,153,"specialist","NEOTROPICAL BIOLOGY AND CONSERVATION","N","Y","Y",NA,NA,"1809-9939","2236-3777","1809-9939","2236-3777"
"200",200,219,"specialist","NORTHEASTERN NATURALIST","Y","N","Y","1092-6194","1938-5307","1092-6194",NA,"1092-6194","1938-5307"
"201",201,NA,"specialist","Ochrona Zabytkow",NA,"Y","Y",NA,NA,"0029-8247",NA,"0029-8247",NA
"202",202,154,"specialist","ONE ECOSYSTEM","N","Y","Y",NA,NA,NA,"2367-8194",NA,"2367-8194"
"203",203,155,"specialist","ORYX","Y","Y","Y","0030-6053","1365-3008","0030-6053","1365-3008","0030-6053","1365-3008"
"204",204,156,"specialist","PACIFIC CONSERVATION BIOLOGY","N","Y","Y",NA,NA,"1038-2097",NA,"1038-2097",NA
"205",205,NA,"specialist","PACHYDERM","Y","N","Y","1026-2881",NA,"1026-2881","1683-5018","1026-2881","1683-5018"
"206",206,NA,"specialist","Palaeobiodiversity and Palaeoenvironments","Y","N","N","1867-1594","1867-1608","1867-1594","1867-1608","1867-1594","1867-1608"
"207",207,NA,"specialist","PALEOBIOLOGY","Y","N","N","0094-8373","1938-5331","0094-8373","1938-5331","0094-8373","1938-5331"
"208",208,157,"specialist","PARK SCIENCE","N","Y","Y",NA,NA,"0735-9462","1090-9966","0735-9462","1090-9966"
"209",209,158,"specialist","PARKS","N","Y","Y",NA,NA,"0960-233X","2411-2119","0960-233X","2411-2119"
"210",210,NA,"specialist","People and Nature","Y","N","Y",NA,"2575-8314",NA,"2575-8314",NA,"2575-8314"
"211",211,159,"specialist","PERSPECTIVES IN ECOLOGY AND CONSERVATION","Y","Y","Y","2530-0644","2530-0644","2530-0644",NA,"2530-0644","2530-0644"
"212",212,NA,"specialist","Plants People Planet",NA,NA,NA,NA,"2572-2611",NA,"2572-2611",NA,"2572-2611"
"213",213,220,"specialist","POLAR BIOLOGY","Y","N","Y","0722-4060","1432-2056","0722-4060","1432-2056","0722-4060","1432-2056"
"214",214,NA,"specialist","Pirineos",NA,"Y","Y",NA,NA,"0373-2568","1988-4281","0373-2568","1988-4281"
"215",215,160,"specialist","PRIMATE CONSERVATION","N","Y","Y",NA,NA,"0898-6207",NA,"0898-6207",NA
"216",216,221,"specialist","PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA","Y","N","Y","0097-3157",NA,"0097-3157",NA,"0097-3157",NA
"217",217,222,"specialist","PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES","Y","N","Y","0370-047X",NA,"0370-047X",NA,"0370-047X",NA
"218",218,NA,"specialist","Progress in Geography",NA,"Y","Y",NA,NA,"1007-6301",NA,"1007-6301",NA
"219",219,161,"specialist","RANGELAND ECOLOGY AND MANAGEMENT","N","Y","Y",NA,NA,"1550-7424",NA,"1550-7424",NA
"220",220,NA,"specialist","Raptor Journal",NA,"Y","Y",NA,NA,NA,"2644-5247",NA,"2644-5247"
"221",221,162,"specialist","REMOTE SENSING IN ECOLOGY AND CONSERVATION","N","Y","Y",NA,NA,NA,"2056-3485",NA,"2056-3485"
"222",222,163,"specialist","RESOURCES","N","Y","Y",NA,NA,NA,NA,NA,NA
"223",223,164,"specialist","RESTORATION ECOLOGY","N","Y","Y",NA,NA,"1061-2971","1526-100X","1061-2971","1526-100X"
"224",224,223,"specialist","REVISTA CHILENA DE HISTORIA NATURAL","Y","N","Y","0716-078X","0717-6317","0716-078X","0717-6317","0716-078X","0717-6317"
"225",225,165,"specialist","REVISTA DE URBANISMO","N","Y","Y",NA,NA,NA,"0717-5051",NA,"0717-5051"
"226",226,224,"specialist","REVISTA MEXICANA DE BIODIVERSIDAD","Y","N","Y","1870-3453","2007-8706","1870-5081","1870-509X","1870-3453","2007-8706"
"227",227,166,"specialist","RI-VISTA","N","Y","Y",NA,NA,NA,"1724-6768",NA,"1724-6768"
"228",228,167,"specialist","RURAL LANDSCAPES","N","Y","Y",NA,NA,NA,"2002-0104",NA,"2002-0104"
"229",229,168,"specialist","RUSSIAN JOURNAL OF FOREST SCIENCE","N","Y","Y",NA,NA,"0024-1148",NA,"0024-1148",NA
"230",230,169,"specialist","SCIENCE FOR CONSERVATION","N","Y","Y",NA,NA,"1173-2946",NA,"1173-2946",NA
"231",231,NA,"specialist","Silva Gabreta",NA,"Y","Y",NA,NA,"1211-7420",NA,"1211-7420",NA
"232",232,170,"specialist","SLOVAK RAPTOR JOURNAL","N","Y","Y",NA,NA,"1337-3463","1338-7227","1337-3463","1338-7227"
"233",233,171,"specialist","SOCIOLOGIA URBANA E RURALE","N","Y","Y",NA,NA,"0392-4939","1971-8403","0392-4939","1971-8403"
"234",234,225,"specialist","SOUTHEASTERN NATURALIST","Y","N","Y","1528-7092","1938-5412","1528-7092",NA,"1528-7092","1938-5412"
"235",235,NA,"specialist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,226,"specialist","SOUTHWESTERN NATURALIST","Y","N","Y","0038-4909","1943-6262","0038-4909","1943-6262","0038-4909","1943-6262"
"237",237,NA,NA,"Springer Geography",NA,"Y","Y",NA,NA,"2194-315X","2194-3168","2194-315X","2194-3168"
"238",238,172,"specialist","STALETA PRAHA","N","Y","Y",NA,NA,"0231-6056",NA,"0231-6056",NA
"239",239,173,"specialist","STUDIES IN THE HISTORY OF GARDENS AND DESIGNED LANDSCAPES","N","Y","Y",NA,NA,"1460-1176",NA,"1460-1176",NA
"240",240,174,"specialist","SUBTERRANEAN BIOLOGY","N","Y","Y",NA,NA,"1768-1448","1314-2615","1768-1448","1314-2615"
"241",241,175,"specialist","SUSTAINABILITY SCIENCE","N","Y","Y",NA,NA,"1862-4065","1862-4057","1862-4065","1862-4057"
"242",242,176,"specialist","SUSTAINABLE HUMANOSPHERE","N","Y","Y",NA,NA,"1880-6503",NA,"1880-6503",NA
"243",243,177,"specialist","SUSTAINABLE MEDITERRANEAN CONSTRUCTION","N","Y","Y",NA,NA,"2385-1546","2420-8213","2385-1546","2420-8213"
"244",244,178,"specialist","SYLVIA","N","Y","Y",NA,NA,"0231-7796",NA,"0231-7796",NA
"245",245,227,"specialist","SYSTEMATICS AND BIODIVERSITY","Y","N","Y","1477-2000","1478-0933","1477-2000","1478-0933","1477-2000","1478-0933"
"246",246,216,"specialist","THE AMERICAN NATURALIST","N","N","Y",NA,NA,"0003-0147","1537-5323","0003-0147","1537-5323"
"247",247,179,"specialist","TRANSITIONAL WATERS BULLETIN","N","Y","Y",NA,NA,NA,"1825-229X",NA,"1825-229X"
"248",248,180,"specialist","TROPICAL CONSERVATION SCIENCE","Y","Y","Y","1940-0829","1940-0829","1940-0829",NA,"1940-0829","1940-0829"
"249",249,181,"specialist","TUEXENIA","N","Y","Y",NA,NA,"0722-494X",NA,"0722-494X",NA
"250",250,228,"specialist","URBAN ECOSYSTEMS","Y","N","Y","1083-8155","1573-1642","1083-8155","1573-1642","1083-8155","1573-1642"
"251",251,182,"specialist","URSUS","N","Y","Y",NA,NA,"1537-6176",NA,"1537-6176",NA
"252",252,229,"specialist","WESTERN NORTH AMERICAN NATURALIST","Y","N","Y","1527-0904","1944-8341","1527-0904",NA,"1527-0904","1944-8341"
"253",253,183,"specialist","WILDFOWL","N","Y","Y",NA,NA,"0954-6324",NA,"0954-6324",NA
"254",254,184,"specialist","WILDLIFE BIOLOGY","N","Y","Y",NA,NA,"0909-6396",NA,"0909-6396",NA
"255",255,185,"specialist","WILDLIFE MONOGRAPHS","N","Y","Y",NA,NA,"0084-0173",NA,"0084-0173",NA
"256",256,186,"specialist","WILDLIFE SOCIETY BULLETIN","Y","Y","Y","2328-5540","2328-5540","0091-7648",NA,"2328-5540","2328-5540"
"257",257,187,"specialist","WORLD AGRICULTURE","N","Y","Y",NA,NA,"2043-7234","2056-7979","2043-7234","2056-7979"
"258",258,188,"specialist","ZOOLOGICAL RESEARCH","N","Y","Y",NA,NA,"2095-8137",NA,"2095-8137",NA
"259",259,189,"specialist","ZPRAVY LESNICKEHO VYZKUMU","N","Y","Y",NA,NA,"0322-9688","1805-9872","0322-9688","1805-9872"
"260",260,NA,"multidisciplinary","Nature","Y","Y","Y","0028-0836",NA,NA,NA,"0028-0836",NA
"261",261,NA,"multidisciplinary","Science","Y","Y","Y","0036-8075",NA,NA,NA,"0036-8075",NA
"262",262,NA,"multidisciplinary","Scientific Reports","Y","Y","Y","2045-2322",NA,"2045-2322",NA,"2045-2322",NA
"263",263,NA,"multidisciplinary","Plos One","Y","Y","Y","2167-8359",NA,"1932-6203",NA,"2167-8359",NA
"264",264,NA,"multidisciplinary","PeerJ","Y","Y","Y","1932-6203",NA,"2167-8359",NA,"1932-6203",NA
