aid,case_study,title,author,journal,year,assigned_year,Threat_category_numeric,Threat_category_description,Response_category_numeric,Response_category_description,Notes,times_cited,impact_factor,ab_scopus,title_scopus,journal_scopus,doi_scopus
719,general,Conservation cornerstones: Capitalising on the endeavours of long-term   monitoring projects,Greg J. Holland and Jerry S. A. Alexander and Peter Johnson and Andrew H. Arnold and Merril Halley and Andrew F. Bennett,biologicalconservation,2012,2012,1,Describing the state of nature,0,No response,NA,5,3.794,"Ecological monitoring is widely used to measure change through time in ecosystems. The current extinction crisis has resulted in a wealth of monitoring programs focussed on tracking the status of threatened species, and the perceived importance of monitoring has seen it become the cornerstone of many biodiversity conservation programs. However, many monitoring programs fail to produce useful outcomes due to inherent flaws. Here we use a monitoring program from south-eastern Australia as a case study to illustrate the potential of such endeavours. The threatened carnivorous marsupial, the brush-tailed phascogale (Phascogale tapoatafa), has been monitored at various locations between 2000 and 2010. We present strong evidence for a decline in relative abundance during this period, and also describe relationships with environmental variables. These results provide insights likely to be valuable in guiding future management of the species. In the absence of the monitoring program, informed management would not be possible. While early detection of population declines is important, knowledge of the processes driving such declines is required for effective intervention. We argue that monitoring programs will be most effective as a tool for enhanced conservation management if they test specific hypotheses relating to changes in population trajectories. Greater emphasis should be placed on rigorous statistical analysis of monitoring datasets in order to capitalise on the resources devoted to monitoring activities. Many datasets are likely to exist for which careful analysis of results would have benefits for determining management directions. © 2011 Elsevier Ltd.",Conservation cornerstones: Capitalising on the endeavours of long-term monitoring projects,Biological Conservation,10.1016/j.biocon.2011.10.016
720,general,Free-ranging livestock threaten the long-term survival of giant pandas,Binbin V. Li and Stuart L. Pimm and Sheng Li and Lianjun Zhao and Chunping Luo,biologicalconservation,2017,2017,1,Describing the state of nature,0,No response,NA,0,4.66,"China has implemented forest policies and expanded protected areas to halt deforestation and protect giant panda habitats. These policies simultaneously encouraged local communities to raise livestock that then freely range in forests. This grazing had unintended consequences. As an alternative livelihood, it has become the most prevalent human disturbance across the panda's range. How do free-ranging livestock impact giant panda habitats and what are the implications for future conservation and policy on a larger scale? We use Wanglang National Nature Reserve as a case study. It has seen a nine-fold livestock increase during past 15 years. We combined bamboo survey plots, GPS collar tracking, long-term monitoring, and species distribution modelling incorporating species interaction to understand the impacts across spatial and temporal scales. Our results showed that livestock, especially horses, lead to a significant reduction of bamboo biomass and regeneration. The most intensively used areas by livestock are in the valleys, which are also the areas that pandas prefer. Adding livestock presence to predictive models of the giant panda's distribution yielded a higher accuracy and suggested livestock reduce panda habitat by 34%. Pandas were driven out of the areas intensively used by livestock. We recommend the nature reserve carefully implement a livestock ban and prioritise removing horses because they cause the greater harm. To give up livestock, local communities prefer long-term subsidies or jobs to a one-time payment. Thus, we recommend the government provide payments for ecosystem services that create jobs in forest stewardship or tourism while reducing the number of domestic animals.",Free-ranging livestock threaten the long-term survival of giant pandas,Biological Conservation,10.1016/j.biocon.2017.09.019
721,general,Evidence of reproductive senescence of released individuals in a   reinforced bird population,Leo Bacon and Yves Hingrat and Alexandre Robert,biologicalconservation,2017,2017,1,Describing the state of nature,4,Testing response,NA,0,4.66,"In free-ranging populations, age-dependent variation in fitness related parameters, in particular the pattern of senescence, has major eco-evolutionary implications and potential influence on population dynamics. Despite the recent surge of studies of senescence in the wild, senescence patterns in species for which population dynamics assessments are crucial, such as translocated populations, remain virtually unexplored. Based on a 15-year nest survey of a North-African Houbara bustard population in Morocco, we investigated age variation in the breeding performance of captive-bred females released in the wild. We identified 781 females, from 1 to 10 years of age, on 1094 nests. We examined how age influenced nest initiation date, clutch size, egg volume, daily nest survival and daily brood survival, as well as whether age-dependent patterns varied according to environmental conditions. Most breeding parameters exhibited variation, suggesting an increase in breeding performance with age in young females (those from 1 to 3 years old). In older females (> 7–8 years old), the egg volume and clutch size decreased with age, in concordance with expectations from senescence theories and previous empirical results obtained from captive Houbara bustards. Finally, our analysis uncovered a significant interaction between age and the amount of precipitation prior to the breeding season on clutch size, suggesting differential abilities of females of different ages to increase their breeding investment. Our study suggests that life histories in translocated individuals are not affected by translocation protocols and provides insights for implementing age dependencies in population viability assessments.",Evidence of reproductive senescence of released individuals in a reinforced bird population,Biological Conservation,10.1016/j.biocon.2017.08.023
722,general,Non-random lizard extinctions in land-bridge Amazonian forest islands   after 28 years of isolation,Ana Filipa Palmeirim and Marcus Vinicius Vieira and Carlos A. Peres,biologicalconservation,2017,2017,1,Describing the state of nature,0,No response,NA,0,4.66,"Major hydropower infrastructure has become a leading driver of biodiversity loss in the lowland tropics. Terrestrial species typically become stranded in post-isolation land-bridge islands within hydroelectric reservoirs. Understanding the resulting extinction dynamics of insular communities is critical to inform, if not to avert, the ongoing blitzkrieg of dam development. Here we assess the effects of forest patch and landscape metrics on diurnal lizard species richness and composition within the Balbina Hydroelectric Dam and surrounding areas in the Central Brazilian Amazon. This 28-yr-old dam created a reservoir of ~ 4438 km2, comprising 3546 islands. We sampled 25 of these islands (0.83–1466 ha) and five mainland continuous forest sites, one of which placed along stream banks. We further related morpho-ecological traits and the geographic distribution of lizard species to the spatial metrics of islands where they occurred. Using 100 L-pitfall traps operated over 5447 trap-days, we recorded 1123 lizards from 17 taxa, two of which exclusively found along stream banks within continuous forest. Island area was the best predictor of species richness and composition. Small islands (= 2 ha) harboured fewer than a third of all species typically observed in larger islands and continuous forest (= 8 species), and only islands = 100 ha retained nearly complete lizard faunas. Lizard assemblages inhabiting small, isolated islands consisted almost exclusively of an oversimplified set of widely distributed, large-bodied, habitat generalist, heliophile species associated with open areas and forest edges, and that feed on a wide spectrum of prey sizes. These wholesale changes in lizard community structure were characterized by severe losses in functional traits, and may profoundly affect ecosystem functioning.",Non-random lizard extinctions in land-bridge Amazonian forest islands after 28 years of isolation,Biological Conservation,10.1016/j.biocon.2017.08.002
723,general,A national-scale assessment of climate change impacts on species:   Assessing the balance of risks and opportunities for multiple taxa,James W. Pearce-Higgins and Colin M. Beale and Tom H. Oliver and Tom A. August and Matthew Carroll and Dario Massimino and Nancy Ockendon and Joanne Savage and Christopher J. Wheatley and Malcolm A. Ausden and Richard B. Bradbury and Simon J. Duffield and Nicholas A. Macgregor and Colin J. McClean and Michael D. Morecroft and Chris D. Thomas and Olly Watts and Bjorn C. Beckmann and Richard Fox and Helen E. Roy and Peter G. Sutton and Kevin J. Walker and Humphrey Q. P. Crick,biologicalconservation,2017,2017,1,Describing the state of nature,0,No response,NA,1,4.66,"It is important for conservationists to be able to assess the risks that climate change poses to species, in order to inform decision making. Using standardised and repeatable methods, we present a national-scale assessment of the risks of range loss and opportunities for range expansion that climate change could pose for over 3000 plants and animals. Species were selected by their occurrence in England, the primary focus of the study, but climate change impacts were assessed across Great Britain, widening their geographical relevance. A basic risk assessment that compared projected future changes in potential range with recently observed changes classified 21% of species as being at high risk and 6% at medium risk of range loss under a B1 climate change scenario. A greater number of species were classified as having a medium (16%) or high (38%) opportunity to potentially expand their distribution. A more comprehensive assessment, incorporating additional ecological information, including potentially confounding and exacerbating factors (e.g. dispersal, habitat availability and other constraints), was applied to 402 species, of which 35% were at risk of range loss and 42% may expand their range extent. This study covers a temperate region with a significant proportion of species at their poleward range limit; the balance of risks and opportunities from climate change may be different elsewhere. The outcome of both risk assessments varied between taxonomic groups, with bryophytes and vascular plants containing the greatest proportion of species at risk from climate change. Upland habitats contained more species at risk than other habitats. Whilst the overall pattern was clear, confidence was generally low for individual assessments, with the exception of well-studied taxa such as birds. In response to climate change, nature conservation needs to plan for changing species distributions and an uncertain future.",A national-scale assessment of climate change impacts on species: Assessing the balance of risks and opportunities for multiple taxa,Biological Conservation,10.1016/j.biocon.2017.06.035
724,general,Rapid response for invasive waterweeds at the arctic invasion front:   Assessment of collateral impacts from herbicide treatments,Suresh Andrew Sethi and Michael P. Carey and John M. Morton and Edgar Guerron-Orejuela and Robert Decino and Mark Willette and James Boersma and Jillian Jablonski and Cheryl Anderson,biologicalconservation,2017,2017,1,Describing the state of nature,4,Testing response,NA,0,4.66,"The remoteness of subarctic and arctic ecosystems no longer protects against invasive species introductions. Rather, the mix of urban hubs surrounded by undeveloped expanses creates a ratchet process whereby anthropogenic activity is sufficient to introduce and spread invaders, but for which the costs of monitoring and managing remote ecosystems is prohibitive. Elodea spp. is the first aquatic invasive plant to become established in Alaska and has potential for widespread deleterious ecological and economic impacts. A rapid eradication response with herbicides has been identified as a priority invasion control strategy. We conducted a multi-lake monitoring effort to assess collateral impacts from herbicide treatment for Elodea in high latitude systems. Variability in data was driven by seasonal dynamics and natural lake-to-lake differences typical of high latitude waterbodies, indicating lack of evidence for systematic impacts to water quality or plankton communities associated with herbicide treatment of Elodea. Impacts on native macrophytes were benign with the exception of some evidence for earlier onset of leaf senescence for lily pads (Nuphar spp.) in treated lakes. We observed a substantial increase in detected native flora richness after Elodea was eradicated from the most heavily infested lake, indicating potential for retention of native macrophyte communities if infestations are addressed quickly. While avoiding introductions through prevention may be the most desirable outcome, these applications indicated low risks of non-target impacts associated with herbicide treatment as a rapid response option for Elodea in high latitude systems.",Rapid response for invasive waterweeds at the arctic invasion front: Assessment of collateral impacts from herbicide treatments,Biological Conservation,10.1016/j.biocon.2017.06.015
725,general,Springs: Conserving perennial water is critical in arid landscapes,J. A. Davis and A. Kerezsy and S. Nicol,biologicalconservation,2017,2017,3,Source of mechanism,1,Proposing a response,NA,7,4.66,"Arid landscapes are highly water-limited environments and all water (surface and groundwater) is environmentally, culturally and economically important. Springs, sites where groundwater discharges at the Earth's surface, are often the only perennial aquatic environments in arid regions. By providing habitats for aquatic biota, as well being an essential water resource for terrestrial species and human settlements, they are small natural features that make a contribution to ecological processes and biodiversity that extends far beyond their area. Many contain endemic, rare or relictual species of plants, fishes and invertebrates and are recognized as globally important biodiversity hotspots and evolutionary and ecological refugia. However, water resource development and invasive species are major threats to these systems. Future climate scenarios indicate that extended droughts may become more common in some arid regions. Such droughts will increase the pressure to extract groundwater for human uses. Increasing aquifer drawdown will result in the loss of some spring habitats and the endemic and dispersal-limited species they support. Conservation challenges include addressing the additive impacts of water extraction and exotic and invasive species and managing recreational activities. Although the isolation and small size of arid land springs makes them extremely vulnerable to anthropogenic impacts, it also means that protection and management may be more feasible and cost effective than for larger aquatic ecosystems. However, multiple approaches and ongoing actions will be required to address additive impacts. Examples of current conservation measures include fencing to exclude feral herbivores, removal of alien aquatic species and assisted re-colonisation of dispersal-limited, endemic species. The fundamental conservation priority is the protection of the groundwater resource (aquifers) on which arid land springs depend.",Springs: Conserving perennial water is critical in arid landscapes,Biological Conservation,10.1016/j.biocon.2016.12.036
726,general,Open oakwoods facing modern threats: Will they survive the next fifty   years?,Marketa Chudomelova and Radim Hedl and Vaclav Zouhar and Peter Szabo,biologicalconservation,2017,2017,1,Describing the state of nature,0,No response,NA,2,4.66,NA,NA,NA,NA
727,general,Measuring the effectiveness of protected area management by comparing   habitat utilization and threat dynamics,Minghao Gong and Zhiyong Fan and Ximing Zhang and Gang Liu and Wanyu Wen and Ling Zhang,biologicalconservation,2017,2017,1,Describing the state of nature,4,Testing response,NA,0,4.66,"The conservation outcomes of a protected area depend on management actions. The effectiveness of protected area management remains a concern for donors and policy-makers. However, very few feasible methods assessing the ability and performance of management teams have been developed. Behavioral shifts in habitat usage, direct and sensitive wildlife responses to threats, have been ignored in the evaluation of protected area management. To address the technical limitations, we developed a method that uses the behavioral dynamics of target species as indicators of the efficacy of threat reduction, control, and overall management effort. By comparing wildlife behavior with threat avoidance distances and patterns we can examine threat mitigation efficacy as a proxy for overall reserve management effectiveness. Using evidence of giant panda habitat utilization in eleven reserves across Qinling Mountains from 2000 to 2012, we built a model of behavior based on the avoidance of four types of anthropogenic threat. We stratified the eleven reserves into five efficacies, of which Changqing reserve was deemed to have the highest management effectiveness. Our approach was validated and supported by changes in suitable habitat and population size across reserves. Focusing on the end result of all threats and management effort means that our framework is straightforward for reserve staff to implement, produces easily interpreted results, and is worthy of application. This study highlights the value of behavioral dynamics when making a full and scientific assessment of the effectiveness of protected area management, and helps investors and policy-makers realize the efficacy of conservation inputs.",Measuring the effectiveness of protected area management by comparing habitat utilization and threat dynamics,Biological Conservation,10.1016/j.biocon.2017.04.027
728,general,`Do you come from a land down under?' Characteristics of the   international trade in Australian endemic parrots,Miguel Vall-Ilosera and Phillip Cassey,biologicalconservation,2017,2017,1,Describing the state of nature,4,Testing response,NA,0,4.66,NA,NA,NA,NA
729,general,Monitoring national conservation progress with indicators derived from   global and national datasets,Xuemei Han and Carmen Josse and Bruce E. Young and Regan L. Smyth and H. Healy Hamilton and Nadine Bowles-Newark,biologicalconservation,2017,2017,1,Describing the state of nature,0,No response,NA,1,4.66,"Developing indicators for monitoring biodiversity, as called for by the Convention on Biological Diversity and 2020 Aichi Targets, is challenging in many countries due to data and capacity gaps. One proposed solution is to disaggregate global datasets to generate national-level indicators for countries where these values do not exist, but to date there are few examples where this approach has been systematically applied and its efficacy investigated. Using comparisons of disaggregated global data and data generated nationally for four indicators in five tropical Andean countries, we show that the two approaches can often lead to divergent values. Differences between values gathered using these two methods vary according to country and indicator, with the average differences for all countries as 26% for forest cover loss (maximum Bolivia 31%), 10% for the Red List Index (maximum Venezuela 27% for birds), 14% for protected area coverage of Key Biodiversity Areas (maximum Colombia 25%), and 67% for carbon sequestration potential (maximum Peru 102%). Most of the variations are due to methodological differences, calling into question the reliability of inter-country comparisons and roll-ups of national indicator data to regional or global scales. Nationally-generated indicators are desirable because they have the greatest power to influence national policy. However, in cases where regional or global consistency is needed, such as assessments by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services and Global Environmental Outlook, assessors should rely on global and regionally-disaggregated global data to elucidate trends and spatial patterns for most indicators. To broaden the utility of nationally-generated indicators, the biodiversity indicators community must agree on methodological standards, ensure that local stakeholders' needs are understood and addressed, develop incentives for the use of these standards, and communicate them to practitioners at all levels.",Monitoring national conservation progress with indicators derived from global and national datasets,Biological Conservation,10.1016/j.biocon.2016.08.023
760,general,Identifying non-invasible habitats for marine copepods using   temperature-dependent R-0,Harshana Rajakaruna and Carly Strasser and Mark Lewis,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,5,2.509,"If a non-indigenous species is to thrive and become invasive it must first persist under its new set of environmental conditions. Net reproductive rate (R 0) represents the average number of female offspring produced by a female over its lifetime, and has been used as a metric of population persistence. We modeled R 0 as a function of ambient water temperature (T) for the invasive marine calanoid copepod Pseudodiaptomus marinus, which is introduced to west coast of North America from East Asia by ship ballast water. The model was based on temperature-dependent stage-structured population dynamics given by a system of ordinary differential equations. We proposed a methodology to identify habitats that are non-invasible for P. marinus using the threshold of R 0(T) < 1 in order to identify potentially invasible habitats. We parameterized the model using published data on P. marinus and applied R 0(T) to identify the range of non-invasible habitats in a global scale based on sea surface temperature data. The model predictions matched the field evidence of species occurrences well. © 2011 Springer Science+Business Media B.V.",Identifying non-invasible habitats for marine copepods using temperature-dependent R <inf>0</inf>,Biological Invasions,10.1007/s10530-011-0104-x
761,general,Regional differences in foraging behaviour of invasive green crab   (Carcinus maenas) populations in Atlantic Canada,Melanie A. Rossong and Pedro A. Quijon and Paul V. R. Snelgrove and Timothy J. Barrett and Cynthia H. McKenzie and Andrea Locke,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,17,2.509,NA,NA,NA,NA
762,general,Effects of an invasive reef-building polychaete on the biomass and   composition of estuarine macroalgal assemblages,Maria Cielo Bazterrica and Florencia Botto and Oscar Iribarne,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,8,2.509,"Invasive species can transform ecological communities. Their profound effects may alter the sources and pathways of primary production. We investigated the effects of the reef forming polychaete Ficopomatus enigmaticus invasion on the biomass and distribution of estuarine macroalgae in a SW Atlantic coastal lagoon (Mar Chiquita, 37° 40'S, 57° 23'W, Argentina). Reefs built by this species serve as substrates for macroalgal development and furnish structures that modify physical and biological conditions for the surrounding benthos. We showed that (1) the red macroalga Polysiphonia subtilissima settles and grows almost exclusively on the surface of the reef, (2) the green macroalgae Cladophora sp. and Enteromorpha intestinalis are found almost exclusively in areas without reefs attached to mollusk shells and, (3) no macroalgae occur in the sediment between reefs. Manipulative experiments show that reefs provide a complex substrate for settlement and survival and therefore benefit red macroalga. These experiments also show that the invasive reef builder has negative indirect effects on green macroalgae by increasing grazing and probably by increased sedimentation between reefs. Via these direct and indirect effects, reefs change the relative biomass contribution of each macroalgal species to the overall production in the lagoon. Knowledge of these processes is important not only for predicting net effects on primary production but also because changes in macroalgal species composition may produce effects that cascade through the food web. © 2011 Springer Science+Business Media B.V.",Effects of an invasive reef-building polychaete on the biomass and composition of estuarine macroalgal assemblages,Biological Invasions,10.1007/s10530-011-0115-7
763,general,Low dissolved ions may limit secondary invasion of inland waters by   exotic round gobies and dreissenid mussels in North America,Brad S. Baldwin and Matthew Carpenter and Kristin Rury and Erin Woodward,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,7,2.509,"Round gobies and dreissenid mussels, exotic species in the North American Great Lakes basin, are euryhaline organisms whose geographic spread and ecological impacts in freshwaters may be limited by low levels of dissolved ions such as calcium (Ca). We measured source populations of these exotics in the St. Lawrence River and found population densities of dreissenids (range of ~1,000-6,400 individuals m -2) and round gobies (6-32 individuals m -2) similar to those in other Great Lake locations from which they have spread inland. However, we found little evidence for their secondary invasion of inland tributary rivers and lakes of northern New York State. Using natural waters collected from inland ecosystems, we ran laboratory bioassays of reproduction, growth, and survival of several life stages of zebra and quagga mussels as well as the round goby. We found little difference in the responses of zebra and quagga mussels, with each species showing moderate reproductive success, growth, and survival at Ca concentrations > 13 mg L -1 and dramatic improvements at >18 mg L -1. Round gobies showed moderate survival in waters with Ca concentrations > 8 mg L -1 and high survival > 18 mg L -1. These bioassays are the first such experiments for quagga mussels and round gobies and show how all three species may be similarly restricted in their ability to invade and permanently colonize significant geographic regions of New York State and perhaps the US. © 2011 Springer Science+Business Media B.V.",Low dissolved ions may limit secondary invasion of inland waters by exotic round gobies and dreissenid mussels in North America,Biological Invasions,10.1007/s10530-011-0146-0
764,general,"The tree fern Dicksonia antarctica invades two habitats of European   conservation priority in So Miguel Island, Azores",Maria L. Arosa and Ricardo S. Ceia and Luis G. Quintanilla and Jaime A. Ramos,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,2,2.509,NA,NA,NA,NA
765,general,With a little help from my friends: hybrid fertility of exotic Populus x   canadensis enhanced by related native Populus nigra,An Vanden-Broeck and Karen Cox and Boudewijn Michiels and Pieter Verschelde and Marc Villar,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,7,2.509,"Hybridization and genetic swamping by planted exotic Populus taxa are putative threats for native Populus resources. We investigated the potential for hybridization between the exotic hybrid Populus x canadensis Moench and its wild relative, the European black poplar (Populus nigra L.), by a series of pollination experiments in the greenhouse. We also tested the effect of mixtures of pollen from the taxon's own pollen and pollen of the foreign taxon on mating success in reciprocal crosses. We observed reduced pollen and seed viability of the hybrid clones of P. x canadensis compared to the clones of the parental species P. nigra. Surprisingly, when in combination with pollen of its wild relative P. nigra, pollen of exotic P. x canadensis sired significantly better on its own flowers. In poplar breeding, the pollen mentor technique which uses pollen mixes of artificially inactivated conspecific pollen and untreated incompatible foreign pollen, has been successfully used to overcome incompatibility barriers. The results of this study suggest that in the wild, where mixed pollen loads are common, similar effects as the pollen mentor effects may enhance the invasiveness of exotic P. x canadensis. This study helps to explain former field observations and contributes to the understanding of potential environmental impacts of commercial exotic and transgene poplar plantations. © 2012 Springer Science+Business Media B.V.",With a little help from my friends: Hybrid fertility of exotic Populus x canadensis enhanced by related native Populus nigra,Biological Invasions,10.1007/s10530-012-0180-6
766,general,Predicting the spread of feral populations of the American mink in   Italy: is it too late for eradication?,F. Iordan and S. P. Rushton and D. W. Macdonald and L. Bonesi,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,6,2.509,NA,NA,NA,NA
767,general,Water brownification may increase the invasibility of a submerged   non-native macrophyte,Roger Paulo Mormul and Johan Ahlgren and Mattias K. Ekvall and Lars-Anders Hansson and Christer Bronmark,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,19,2.509,"Environmental conditions and human activities play a significant role in structuring novel assemblages of native and non-native species. Ongoing and future climatic change may alter the performance of native and non-native species and their biotic interactions. In the northern hemisphere, expected climate changes include warmer temperatures and higher precipitation, the latter of which may increase dissolved organic carbon (humic) concentrations, resulting in browner water in aquatic ecosystems (brownification). We tested the effects of elevated temperature (3 °C) and brownification on native and non-native aquatic plant production in mesocosms over 56 days. Elodea canadensis, an aquatic invasive plant, had higher relative growth rate in terms of both length and weight, as well as higher weight to length ratio when grown in brown versus clear water; E. canadensis did not respond to temperature treatments. Different functional groups of native producers (phytoplankton, periphyton, macrophytes) showed different relationships to temperature and brownification treatments, with the macrophyte response being most notable because it was opposite to that of E. canadensis. Native macrophytes decreased in biomass in browner water, where they represented about 40 % of total biomass compared to 85 % in clear water. In regression analyses, E. canadensis length RGR was best predicted only by water color treatment, but biomass RGR and biomass per length were inversely correlated with native macrophyte biomass, which is consistent with competition. Our results unexpectedly showed water brownification to have more influence on lake invasion than climate warming at this temperature regime. Two pathways emerged for climate to interact with biological invasions in structuring novel communities: directly, if non-native species respond positively to climate change, and indirectly through species interactions, for instance, because water brownification impairs growth of native macrophytes and reduces biotic resistance to invasion. © 2012 Springer Science+Business Media B.V.",Water brownification may increase the invasibility of a submerged non-native macrophyte,Biological Invasions,10.1007/s10530-012-0216-y
768,general,Physicochemical and morphological degradation of stream and river   habitats increases invasion risk,Denise Frueh and Stefan Stoll and Peter Haase,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,21,2.509,"One of the key challenges of invasion biology in aquatic systems is determining the environmental conditions under which non-indigenous species establish populations in new habitats. It is widely believed that environmental degradation of streams and rivers may facilitate susceptibility to invasion; however, this has not yet been demonstrated consistently across a wide range of taxonomic groups. We analyzed macroinvertebrate data from 398 stream and river sites in Germany in order to test whether morphologically and physicochemically degraded stream and river habitats are more prone to invasion. Further, we identified the most important environmental variables facilitating invasion. The study confirmed that invaded sites were significantly more degraded than sites where only indigenous species were recorded. In both streams and rivers, invaded sites featured increased maximum temperatures, chloride and total organic carbon concentrations and a decreased morphological habitat quality. In streams, additionally the variables minimum temperature, oxygen, orthophosphate and ammonium contributed to greater degradation. In rivers also nitrate concentration was increased at invaded sites. Generalized linear models indicated that chloride was one of the most important variables that favored invasibility in both streams and rivers. In streams, the most indicative variables for invasion risk also included orthophosphate and maximum temperature. In rivers, in addition to chloride, morphological habitat quality was important. Our results confirm that the physicochemical and morphological intactness of riverine systems is a safeguard against invasion of aquatic non-indigenous macroinvertebrates. Based on this knowledge, management strategies can be developed to reduce invasion risk. © 2012 Springer Science+Business Media B.V.",Physicochemical and morphological degradation of stream and river habitats increases invasion risk,Biological Invasions,10.1007/s10530-012-0226-9
769,general,Impacts of an abundant introduced ecosystem engineer within mudflats of   the southeastern US coast,James E. Byers and Paul E. Gribben and Caitlin Yeager and Erik E. Sotka,biologicalinvasions,2012,2012,2,Threatening mechanism,0,No response,NA,39,2.509,"Invasive ecosystem engineers can have far-reaching effects on systems, especially if they provide structure where none was before. The non-native seaweed Gracilaria vermiculophylla has proliferated on estuarine mudflats throughout the southeastern US, including areas (South Carolina and Georgia) that historically were extremely low in seaweed biomass. Quantitative field surveys across 150 km of high salinity estuaries revealed that the density of the native onuphid polychaete Diopatra cuprea and the aboveground height of its biogenic tubes, which Diopatra decorates with drifting debris and seaweed, positively influenced Gracilaria biomass. The abundance of Gracilaria epifauna, composed primarily of amphipods and small snails, increased with Gracilaria biomass at many locations in our field surveys. To examine whether epifauna were facilitated by Gracilaria we experimentally manipulated Gracilaria biomass in two locations. Consistent with the field surveys, we found that increasing Gracilaria biomass facilitated epifauna, particularly amphipods and snails. Epifaunal densities on Gracilaria were higher than on a biologically-inert structural mimic of Gracilaria (plastic aquarium alga), indicating that epifauna colonize Gracilaria because Gracilaria provisions both physical structure and a biological resource. We also quantified the seaweed's net rate of productivity and decomposition. Primary production of Gracilaria was variable, but massive in some areas (up to 200 % net biomass increase in 8 weeks). The seaweed rapidly degraded upon burial in silty sediments (79 % loss in mass within 10 days) and thus may represent an important new addition to detrital foodwebs. As a copious, novel source of primary production, detritus, and desirable habitat for epifauna, Gracilaria has the potential to transform southeastern US estuaries. © 2012 Springer Science+Business Media B.V.",Impacts of an abundant introduced ecosystem engineer within mudflats of the southeastern US coast,Biological Invasions,10.1007/s10530-012-0254-5
770,general,Positive selection of beautiful invaders: long-term persistence and   bio-invasion risk of freshwater crayfish in the pet trade,Christoph Chucholl and Franziska Wendler,biologicalinvasions,2017,2017,3,Source of mechanism,0,No response,NA,3,3.054,"After interest in keeping crayfish (Crustacea, Decapoda, Astacida) in home aquaria peaked in the mid-2000s, the aquarium trade has become a novel introduction pathway for non-native crayfish species in Germany. Here, we provide an update on the ornamental crayfish trade approximately one decade after the ‘crayfish hype’ to explore the long-term implications in terms of bio-invasion risk. Specifically, species’ availability in e-commerce and potential invasiveness were assessed and compared to previous studies. Morphological and ecological traits of the offered species were compiled and related to their long-term availability (covering 2005–2015). In July 2015, a total of 31 online shops offered 28 crayfish species, which represents a decline of 24 % in species diversity compared to the late 2000s. The estimated rate of import of new species has considerably flattened and approaches pre-hype values (<1 species year-1). However, the risk associated with the offered species, as assessed by a risk screening tool, has not decreased compared to the late 2000s. Long-term availability in the trade was primarily determined by bright coloration, the ability to reproduce under warm aquarium conditions, and a preference for lentic habitats. Species featuring such traits are likely to persist in the aquarium trade and include four high-risk species, most notably invasive and crayfish plague-carrying red swamp crayfish (Procambarus clarkii) and Marmorkrebs (Procambarus fallax f. virginalis). Persistent propagule pressure from aquaria has substantially contributed to the establishment of both species in Germany, stressing the need for more effective pathway management.",Positive selection of beautiful invaders: long-term persistence and bio-invasion risk of freshwater crayfish in the pet trade,Biological Invasions,10.1007/s10530-016-1272-5
771,general,Invasive plant management creates ecological traps for snakes,Evin T. Carter and Michael J. Ravesi and Bryan C. Eads and Bruce A. Kingsbury,biologicalinvasions,2017,2017,2,Threatening mechanism,4,Testing response,NA,0,3.054,"Exotic plant management often begins only after introduced taxa become widespread and problematic. Control efforts at this stage have a higher potential to lead to unintended outcomes in native systems. We explored the impacts of ongoing invasive plant management on a native ectotherm, the copperhead (Agkistrodon contortrix), in a landscape heavily impacted by multiple nonnative plant species. We found that habitats undergoing invasive plant control are preferred by snakes over other available habitats, but these individuals are at greater risk of injury and mortality owing to policy-driven methods of control. At the same time, we show that management can reverse invader impacts, notably reclaiming thermoregulatory opportunities for ectotherms, thus offering benefits as well as challenges for such animals. This introduces a key dilemma for conservation as invasive plant management can reclaim critical resources while policy-driven control methods can undermine the success of these efforts. We outline several simple and direct solutions that may easily be incorporated into management plans.",Invasive plant management creates ecological traps for snakes,Biological Invasions,10.1007/s10530-016-1289-9
